POC,"Pos(x,y)",Block_size(w*h),SplitSeries
0,"0,0",64*64,1
0,"64,0",64*64,1
0,"0,64",32*32,33
0,"32,64",32*32,33
0,"0,96",32*32,33
0,"32,96",32*32,33
0,"64,64",64*64,1
0,"128,0",64*64,1
0,"192,0",64*64,1
0,"128,64",32*32,33
0,"160,64",32*32,33
0,"128,96",32*16,2081
0,"128,112",32*8,67617
0,"128,120",32*8,67617
0,"160,96",16*8,134177
0,"160,104",16*16,134177
0,"160,120",16*8,134177
0,"176,96",16*32,3105
0,"192,64",32*32,33
0,"224,64",32*32,33
0,"192,96",32*32,33
0,"224,96",16*32,3105
0,"240,96",16*32,3105
0,"256,0",32*32,33
0,"288,0",16*16,68641
0,"288,16",8*16,3214369
0,"296,16",8*16,3214369
0,"304,0",4*32,3247137
0,"308,0",4*32,3247137
0,"312,0",8*32,101409
0,"256,32",32*32,33
0,"288,32",8*32,5153
0,"296,32",16*16,70689
0,"296,48",16*16,70689
0,"312,32",8*32,5153
0,"320,0",4*32,3247137
0,"324,0",4*32,3247137
0,"328,0",8*32,101409
0,"336,0",8*16,2198561
0,"336,16",8*16,2198561
0,"344,0",8*32,101409
0,"352,0",16*8,66593
0,"352,8",16*8,66593
0,"368,0",8*4,4293665
0,"368,4",8*8,4293665
0,"368,12",8*4,4293665
0,"376,0",8*16,99361
0,"352,16",8*16,99361
0,"360,16",8*16,99361
0,"368,16",16*8,66593
0,"368,24",16*8,66593
0,"320,32",8*8,4295713
0,"320,40",8*16,4295713
0,"320,56",8*8,4295713
0,"328,32",8*32,101409
0,"336,32",4*16,5311521
0,"340,32",8*16,5311521
0,"348,32",4*16,5311521
0,"336,48",16*16,68641
0,"352,32",4*16,164897
0,"356,32",8*8,2262049
0,"356,40",8*8,2262049
0,"364,32",4*16,164897
0,"368,32",4*16,164897
0,"372,32",8*8,2262049
0,"372,40",8*4,69370913
0,"372,44",8*4,69370913
0,"380,32",4*16,164897
0,"352,48",16*16,1057
0,"368,48",4*8,3179553
0,"372,48",4*4,70288417
0,"372,52",4*4,70288417
0,"376,48",8*8,33825
0,"368,56",8*8,33825
0,"376,56",8*8,33825
0,"256,64",64*64,1
0,"320,64",32*32,33
0,"352,64",32*32,33
0,"320,96",32*32,33
0,"352,96",8*32,101409
0,"360,96",4*32,3247137
0,"364,96",4*32,3247137
0,"368,96",16*8,134177
0,"368,104",16*16,134177
0,"368,120",16*8,134177
0,"384,0",4*16,164897
0,"388,0",8*4,4359201
0,"388,4",4*8,105022497
0,"392,4",4*8,105022497
0,"388,12",8*4,4359201
0,"396,0",4*4,4359201
0,"396,4",4*8,4359201
0,"396,12",4*4,4359201
0,"400,0",4*8,103875617
0,"404,0",4*8,103875617
0,"408,0",8*8,3212321
0,"400,8",16*4,2163745
0,"400,12",16*4,2163745
0,"384,16",4*4,103941153
0,"388,16",4*4,103941153
0,"392,16",8*4,3277857
0,"384,20",16*8,132129
0,"384,28",16*4,132129
0,"400,16",16*16,1057
0,"416,0",16*8,66593
0,"416,8",16*4,2163745
0,"416,12",16*4,2163745
0,"432,0",4*4,169935905
0,"436,0",8*4,169935905
0,"444,0",4*4,169935905
0,"432,4",16*4,2163745
0,"432,8",16*8,66593
0,"416,16",16*16,1057
0,"432,16",8*16,99361
0,"440,16",4*8,70353953
0,"440,24",4*8,70353953
0,"444,16",4*8,70353953
0,"444,24",4*8,70353953
0,"384,32",8*16,3214369
0,"392,32",8*16,3214369
0,"384,48",16*8,2165793
0,"384,56",16*8,2165793
0,"400,32",16*32,3105
0,"416,32",32*4,133153
0,"416,36",32*8,133153
0,"416,44",32*4,133153
0,"416,48",32*16,2081
0,"448,0",8*8,3212321
0,"456,0",8*8,3212321
0,"448,8",16*4,2163745
0,"448,12",16*4,2163745
0,"464,0",8*8,33825
0,"472,0",8*8,33825
0,"464,8",8*8,33825
0,"472,8",8*4,2130977
0,"472,12",8*4,2130977
0,"448,16",16*4,2163745
0,"448,20",16*4,2163745
0,"448,24",16*8,66593
0,"464,16",8*16,99361
0,"472,16",8*8,2196513
0,"472,24",8*8,2196513
0,"480,0",16*16,1057
0,"496,0",16*8,66593
0,"496,8",16*8,66593
0,"480,16",4*8,102859809
0,"484,16",4*8,102859809
0,"480,24",8*8,2196513
0,"488,16",8*16,99361
0,"496,16",8*16,99361
0,"504,16",8*8,2196513
0,"504,24",8*8,2196513
0,"448,32",16*8,66593
0,"448,40",16*8,66593
0,"464,32",8*4,102827041
0,"472,32",8*4,102827041
0,"464,36",16*4,2163745
0,"464,40",16*8,66593
0,"448,48",16*16,1057
0,"464,48",16*16,1057
0,"480,32",16*32,3105
0,"496,32",16*4,2231329
0,"496,36",16*4,2231329
0,"496,40",16*4,4328481
0,"496,44",16*8,4328481
0,"496,52",16*4,4328481
0,"496,56",16*8,134177
0,"384,64",16*16,1057
0,"400,64",16*16,1057
0,"384,80",16*16,1057
0,"400,80",16*16,1057
0,"416,64",16*32,3105
0,"432,64",16*32,3105
0,"384,96",32*8,67617
0,"384,104",32*8,67617
0,"384,112",32*16,2081
0,"416,96",32*8,4129
0,"416,104",32*16,4129
