POC,"Pos(x,y)",Block_size(w*h),SplitSeries
0,"0,0",4*4,69370913
0,"0,4",4*4,69370913
0,"0,8",4*4,69370913
0,"0,12",4*4,69370913
0,"4,0",8*8,2262049
0,"4,8",4*8,102925345
0,"8,8",4*8,102925345
0,"12,0",4*16,164897
0,"16,0",16*4,132129
0,"16,4",4*8,103941153
0,"20,4",4*8,103941153
0,"24,4",4*8,103941153
0,"28,4",4*8,103941153
0,"16,12",16*4,132129
0,"0,16",4*8,3179553
0,"4,16",4*8,3179553
0,"8,16",8*8,33825
0,"0,24",8*8,33825
0,"8,24",8*8,33825
0,"16,16",8*4,4293665
0,"16,20",8*8,4293665
0,"16,28",4*4,104956961
0,"20,28",4*4,104956961
0,"24,16",8*4,4293665
0,"24,20",8*8,4293665
0,"24,28",4*4,104956961
0,"28,28",4*4,104956961
0,"32,0",4*4,5375009
0,"36,0",8*4,5375009
0,"44,0",4*4,5375009
0,"32,4",4*4,72483873
0,"32,8",4*4,72483873
0,"36,4",8*4,72483873
0,"36,8",8*4,72483873
0,"44,4",4*4,72483873
0,"44,8",4*4,72483873
0,"32,12",4*4,103941153
0,"36,12",4*4,103941153
0,"40,12",8*4,3277857
0,"48,0",4*4,72418337
0,"48,4",4*4,72418337
0,"52,0",8*4,72418337
0,"52,4",8*4,72418337
0,"60,0",4*4,72418337
0,"60,4",4*4,72418337
0,"48,8",4*4,72418337
0,"48,12",4*4,72418337
0,"52,8",8*8,5309473
0,"60,8",4*4,72418337
0,"60,12",4*4,72418337
0,"32,16",8*4,69305377
0,"32,20",8*4,69305377
0,"32,24",4*8,102859809
0,"36,24",4*8,102859809
0,"40,16",4*8,70353953
0,"40,24",4*8,70353953
0,"44,16",4*8,70353953
0,"44,24",4*8,70353953
0,"48,16",8*4,70321185
0,"48,20",8*4,70321185
0,"56,16",8*4,70321185
0,"56,20",8*4,70321185
0,"48,24",4*4,169935905
0,"52,24",8*4,169935905
0,"60,24",4*4,169935905
0,"48,28",8*4,102827041
0,"56,28",8*4,102827041
0,"0,32",4*4,169935905
0,"4,32",8*4,169935905
0,"12,32",4*4,169935905
0,"0,36",4*4,169935905
0,"4,36",8*4,169935905
0,"12,36",4*4,169935905
0,"0,40",4*4,169935905
0,"4,40",8*4,169935905
0,"12,40",4*4,169935905
0,"0,44",4*4,169935905
0,"4,44",8*4,169935905
0,"12,44",4*4,169935905
0,"16,32",4*8,2262049
0,"16,40",4*8,2262049
0,"20,32",8*8,2262049
0,"20,40",4*8,102925345
0,"24,40",4*8,102925345
0,"28,32",4*16,164897
0,"0,48",4*4,103941153
0,"4,48",4*4,103941153
0,"8,48",4*4,103941153
0,"12,48",4*4,103941153
0,"0,52",8*4,70386721
0,"0,56",8*4,70386721
0,"8,52",4*8,103941153
0,"12,52",4*8,103941153
0,"0,60",4*4,5375009
0,"4,60",8*4,5375009
